age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_50K
53,Self_emp_not_inc,93449,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,Asian_Pac_Islander,Male,0,0,40,India,1
33,Self_emp_not_inc,123424,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,1
47,Private,144844,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
40,Private,114580,HS_grad,9,Divorced,Craft_repair,Other_relative,White,Female,0,0,40,Vietnam,0
39,Private,115618,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,50,United_States,0
33,Private,159322,HS_grad,9,Divorced,Other_service,Unmarried,White,Male,0,0,40,United_States,0
55,Private,50164,Doctorate,16,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,60,United_States,1
39,Private,370032,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,45,United_States,0
22,Private,209034,Some_college,10,Never_married,Other_service,Not_in_family,White,Female,0,0,35,United_States,0
27,Private,94090,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,50,United_States,0
33,Private,105974,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,41,United_States,0
37,Federal_gov,32528,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,40,England,1
79,Local_gov,84616,11th,7,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,7,United_States,0
31,Private,56026,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
37,Private,61518,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,0
47,Private,503454,12th,8,Never_married,Adm_clerical,Other_relative,Black,Female,0,0,40,United_States,0
19,Private,91893,Some_college,10,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,24,United_States,0
21,Private,214399,Some_college,10,Never_married,Other_service,Own_child,White,Female,0,1721,24,United_States,0
56,Self_emp_inc,321529,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,15024,0,40,United_States,1
26,Private,111058,Bachelors,13,Never_married,Sales,Own_child,White,Male,0,0,50,United_States,0
27,Private,255476,5th_6th,3,Never_married,Other_service,Other_relative,White,Male,0,0,40,Mexico,0
55,Private,335276,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,0,0,40,United_States,0
42,Local_gov,117227,Masters,14,Divorced,Prof_specialty,Unmarried,White,Female,0,0,45,United_States,0
30,Private,197058,Assoc_acdm,12,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,0
56,Private,199713,9th,5,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
35,Federal_gov,22494,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,1
19,?,141418,Some_college,10,Never_married,?,Own_child,White,Male,0,0,15,United_States,0
56,Local_gov,273084,Masters,14,Married_civ_spouse,Exec_managerial,Husband,Black,Male,0,0,40,United_States,1
68,Self_emp_not_inc,122094,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,15,United_States,0
38,Private,203717,Bachelors,13,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,60,United_States,0
21,?,163665,Some_college,10,Never_married,?,Own_child,White,Female,0,0,40,United_States,0
34,Local_gov,161113,Some_college,10,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,40,United_States,0
32,Private,195576,11th,7,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
72,Private,74141,9th,5,Married_civ_spouse,Exec_managerial,Wife,Asian_Pac_Islander,Female,0,0,48,United_States,1
24,Private,209417,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,7298,0,60,United_States,1
19,Private,183532,Some_college,10,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,25,United_States,0
50,Private,102346,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,0,0,36,?,0
28,Private,162298,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,0,0,40,United_States,0
72,Private,164724,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,28,United_States,0
49,Private,59380,Some_college,10,Married_spouse_absent,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
37,Private,188069,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
29,Private,142712,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,1
51,Local_gov,146181,9th,5,Married_civ_spouse,Transport_moving,Husband,Black,Male,0,0,40,United_States,0
48,Self_emp_inc,38240,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,40,United_States,1
41,Private,242804,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,40,United_States,0
27,Private,110648,Bachelors,13,Never_married,Tech_support,Own_child,White,Male,0,0,40,United_States,0
32,Private,223212,Preschool,1,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,Mexico,0
48,Private,320421,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,0
40,Private,184471,Some_college,10,Divorced,Machine_op_inspct,Not_in_family,White,Male,0,0,40,United_States,0
30,State_gov,54318,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,40,United_States,0
51,?,165637,Masters,14,Married_civ_spouse,?,Husband,White,Male,0,0,40,United_States,0
37,Private,135089,Some_college,10,Divorced,Other_service,Unmarried,White,Female,0,0,56,United_States,0
66,Private,236879,Preschool,1,Widowed,Priv_house_serv,Other_relative,White,Female,0,0,40,Guatemala,0
60,Private,101198,Assoc_voc,11,Divorced,Other_service,Not_in_family,White,Male,0,0,20,United_States,0
20,Private,332194,HS_grad,9,Never_married,Handlers_cleaners,Own_child,Black,Male,0,0,20,United_States,0
76,Private,82628,7th_8th,4,Married_civ_spouse,Other_service,Husband,White,Male,0,0,45,United_States,0
35,Private,276552,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
45,Private,214627,Doctorate,16,Widowed,Prof_specialty,Unmarried,White,Male,15020,0,40,Iran,1
51,Self_emp_not_inc,120781,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,Other,Male,99999,0,70,India,1
52,Local_gov,146565,Assoc_acdm,12,Divorced,Other_service,Not_in_family,White,Female,4865,0,30,United_States,0
33,Private,176185,12th,8,Divorced,Craft_repair,Not_in_family,White,Male,0,2258,42,United_States,0
38,State_gov,149135,Assoc_acdm,12,Never_married,Adm_clerical,Not_in_family,Black,Male,0,0,40,United_States,0
35,State_gov,227128,HS_grad,9,Divorced,Craft_repair,Own_child,White,Male,0,0,40,United_States,0
34,Private,140092,HS_grad,9,Never_married,Tech_support,Not_in_family,White,Male,0,0,40,United_States,0
18,Private,192022,Some_college,10,Never_married,Other_service,Own_child,White,Male,0,0,20,United_States,0
44,Private,163215,12th,8,Divorced,Machine_op_inspct,Unmarried,White,Female,0,0,40,United_States,0
42,Self_emp_not_inc,217597,HS_grad,9,Divorced,Sales,Own_child,White,Male,0,0,50,?,0
47,Local_gov,140644,Some_college,10,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,1
26,Private,37898,Assoc_voc,11,Never_married,Craft_repair,Not_in_family,White,Male,0,0,65,United_States,0
